Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Deadpool,Deadpool_Screenplay.txt,"$58,000,000","$363,070,709","$781,947,691"
American Sniper,American-Sniper_Screenplay.txt,"$58,000,000","$350,126,372","$547,326,372"
Sex and the City,Sex-and-the-City_Screenplay.txt,"$57,500,000","$152,647,258","$415,247,258"
Devil’s Advocate,Devil's-Advocate_Screenplay.txt,"$57,000,000","$61,007,424","$153,007,424"
Into the Woods,Into-the-Woods_Screenplay.txt,"$56,200,000","$128,002,372","$212,416,317"
Walking Tall,Walking-Tall_Screenplay.txt,"$56,000,000","$46,213,824","$47,856,383"
Joker,Joker_Screenplay.txt,"$55,000,000","$335,451,311","$1,064,085,246"
Forrest Gump,Forrest-Gump_Screenplay.txt,"$55,000,000","$330,151,138","$679,835,137"
Date Night,Date-Night_Screenplay.txt,"$55,000,000","$98,711,404","$152,269,033"
Alien 3,Alien-3_Screenplay.txt,"$55,000,000","$54,927,174","$158,500,000"
Ronin,Ronin_Screenplay.txt,"$55,000,000","$41,610,884","$70,692,101"
Burlesque,Burlesque_Screenplay.txt,"$55,000,000","$39,440,655","$90,552,675"
Changeling,Changeling_Screenplay.txt,"$55,000,000","$35,739,802","$113,805,580"
Elizabeth: The Golden Age,Elizabeth-The-Golden-Age_Screenplay.txt,"$55,000,000","$16,285,240","$74,870,866"
All the King's Men,All-the-King's-Men_Screenplay.txt,"$55,000,000","$7,221,458","$9,521,458"
Thunderbirds,Thunderbirds_Screenplay.txt,"$55,000,000","$6,768,055","$28,231,444"
Law Abiding Citizen,Law-Abiding-Citizen_Screenplay.txt,"$53,000,000","$73,357,727","$131,159,781"
Anastasia,Anastasia_Screenplay.txt,"$53,000,000","$58,403,409","$139,801,096"
Beloved,Beloved_Screenplay.txt,"$53,000,000","$22,852,487","$22,852,487"
Zero Dark Thirty,Zero-Dark-Thirty_Screenplay.txt,"$52,500,000","$95,720,716","$134,612,435"
Catch Me if You Can,Catch-Me-If-You-Can_Screenplay.txt,"$52,000,000","$164,606,800","$355,612,291"
Casino,Casino_Screenplay.txt,"$52,000,000","$42,438,300","$110,400,000"
Man on the Moon,Man-on-the-Moon_Screenplay.txt,"$52,000,000","$34,580,635","$47,407,635"
Shrek,Shrek_Screenplay.txt,"$50,000,000","$268,028,651","$492,186,434"
Ted,Ted_Screenplay.txt,"$50,000,000","$218,665,740","$556,016,627"
Robin Hood: Prince of Thieves,Robin-Hood-Prince-of-Thieves_Screenplay.txt,"$50,000,000","$165,493,908","$390,500,000"
Jerry Maguire,Jerry-Maguire_Screenplay.txt,"$50,000,000","$153,952,592","$273,552,592"
As Good as it Gets,As-Good-As-It-Gets_Screenplay.txt,"$50,000,000","$148,478,011","$314,111,923"
Super 8,Super-8_Screenplay.txt,"$50,000,000","$127,004,179","$257,972,745"
Erin Brockovich,Erin-Brockovich_Screenplay.txt,"$50,000,000","$125,548,685","$257,805,243"
Interview with the Vampire,Interview-with-the-Vampire_Screenplay.txt,"$50,000,000","$105,264,608","$223,564,608"
Yes Man,Yes-Man_Screenplay.txt,"$50,000,000","$97,690,976","$225,990,976"
Stepmom,Stepmom_Screenplay.txt,"$50,000,000","$91,137,662","$159,745,279"
